X, Z, P
1.21474500e-03, -4.17222000e-04, 1.44465000e+01
1.22115500e-03, -4.29578000e-04, 1.44473000e+01
1.22756500e-03, -4.41990000e-04, 1.44481000e+01
1.23397500e-03, -4.54450000e-04, 1.44489000e+01
1.24038500e-03, -4.66942000e-04, 1.44497000e+01
1.24679500e-03, -4.79455000e-04, 1.44504000e+01
3.20500000e-06, -4.63035000e-04, 1.57012000e+01
9.61500000e-06, -4.74810000e-04, 1.57018000e+01
1.60250000e-05, -4.86567000e-04, 1.57024000e+01
2.24350000e-05, -4.98292000e-04, 1.57031000e+01
2.88450000e-05, -5.09978000e-04, 1.57037000e+01
3.52550000e-05, -5.21608000e-04, 1.57043000e+01
4.16650000e-05, -5.33168000e-04, 1.57048000e+01
4.80750000e-05, -5.44650000e-04, 1.57054000e+01
5.44850000e-05, -5.56042000e-04, 1.57060000e+01
6.08950000e-05, -5.67335000e-04, 1.57065000e+01
6.73050000e-05, -5.78512000e-04, 1.57070000e+01
7.37150000e-05, -5.89563000e-04, 1.57075000e+01
8.01250000e-05, -6.00475000e-04, 1.57080000e+01
8.65350000e-05, -6.11237000e-04, 1.57085000e+01
9.29450000e-05, -6.21840000e-04, 1.57089000e+01
9.93550000e-05, -6.32270000e-04, 1.57094000e+01
1.05765000e-04, -6.42520000e-04, 1.57098000e+01
1.12175000e-04, -6.52580000e-04, 1.57102000e+01
1.18585000e-04, -6.62435000e-04, 1.57105000e+01
1.25000000e-04, -6.72075000e-04, 1.57109000e+01
1.31415000e-04, -6.81495000e-04, 1.57112000e+01
1.37825000e-04, -6.90682000e-04, 1.57115000e+01
1.44235000e-04, -6.99625000e-04, 1.57118000e+01
1.50645000e-04, -7.08318000e-04, 1.57121000e+01
1.57055000e-04, -7.16748000e-04, 1.57123000e+01
1.63465000e-04, -7.24908000e-04, 1.57125000e+01
1.69875000e-04, -7.32790000e-04, 1.57128000e+01
1.76285000e-04, -7.40387000e-04, 1.57130000e+01
1.82695000e-04, -7.47693000e-04, 1.57131000e+01
1.89105000e-04, -7.54695000e-04, 1.57133000e+01
1.95515000e-04, -7.61387000e-04, 1.57135000e+01
2.01925000e-04, -7.67762000e-04, 1.57136000e+01
2.08335000e-04, -7.73817000e-04, 1.57138000e+01
2.14745000e-04, -7.79545000e-04, 1.57139000e+01
2.21155000e-04, -7.84938000e-04, 1.57140000e+01
2.27565000e-04, -7.89987000e-04, 1.57141000e+01
2.33975000e-04, -7.94690000e-04, 1.57142000e+01
2.40385000e-04, -7.99045000e-04, 1.57143000e+01
2.46795000e-04, -8.03045000e-04, 1.57144000e+01
2.53205000e-04, -8.06685000e-04, 1.57145000e+01
2.59615000e-04, -8.09962000e-04, 1.57145000e+01
2.66025000e-04, -8.12877000e-04, 1.57146000e+01
2.72435000e-04, -8.15423000e-04, 1.57147000e+01
2.78845000e-04, -8.17590000e-04, 1.57147000e+01
2.85255000e-04, -8.19385000e-04, 1.57148000e+01
2.91665000e-04, -8.20805000e-04, 1.57148000e+01
2.98075000e-04, -8.21847000e-04, 1.57149000e+01
3.04485000e-04, -8.22512000e-04, 1.57149000e+01
3.10895000e-04, -8.22798000e-04, 1.57150000e+01
3.17305000e-04, -8.22705000e-04, 1.57150000e+01
3.23715000e-04, -8.22230000e-04, 1.57150000e+01
3.30125000e-04, -8.21375000e-04, 1.57151000e+01
3.36535000e-04, -8.20145000e-04, 1.57151000e+01
3.42945000e-04, -8.18537000e-04, 1.57152000e+01
3.49355000e-04, -8.16552000e-04, 1.57152000e+01
3.55765000e-04, -8.14195000e-04, 1.57153000e+01
3.62175000e-04, -8.11468000e-04, 1.57154000e+01
3.68585000e-04, -8.08370000e-04, 1.57154000e+01
3.75000000e-04, -8.04913000e-04, 1.57155000e+01
3.81415000e-04, -8.01092000e-04, 1.57156000e+01
3.87825000e-04, -7.96913000e-04, 1.57157000e+01
3.94235000e-04, -7.92382000e-04, 1.57158000e+01
4.00645000e-04, -7.87505000e-04, 1.57159000e+01
4.07055000e-04, -7.82285000e-04, 1.57160000e+01
4.13465000e-04, -7.76725000e-04, 1.57161000e+01
4.19875000e-04, -7.70833000e-04, 1.57162000e+01
4.26285000e-04, -7.64615000e-04, 1.57164000e+01
4.32695000e-04, -7.58080000e-04, 1.57165000e+01
4.39105000e-04, -7.51233000e-04, 1.57167000e+01
4.45515000e-04, -7.44080000e-04, 1.57169000e+01
4.51925000e-04, -7.36630000e-04, 1.57171000e+01
4.58335000e-04, -7.28888000e-04, 1.57173000e+01
4.64745000e-04, -7.20862000e-04, 1.57175000e+01
4.71155000e-04, -7.12565000e-04, 1.57177000e+01
4.77565000e-04, -7.04003000e-04, 1.57180000e+01
4.83975000e-04, -6.95185000e-04, 1.57183000e+01
4.90385000e-04, -6.86120000e-04, 1.57186000e+01
4.96795000e-04, -6.76815000e-04, 1.57189000e+01
5.03205000e-04, -6.67283000e-04, 1.57192000e+01
5.09615000e-04, -6.57533000e-04, 1.57196000e+01
5.16025000e-04, -6.47575000e-04, 1.57200000e+01
5.22435000e-04, -6.37417000e-04, 1.57203000e+01
5.28845000e-04, -6.27075000e-04, 1.57208000e+01
5.35255000e-04, -6.16557000e-04, 1.57212000e+01
5.41665000e-04, -6.05875000e-04, 1.57216000e+01
5.48075000e-04, -5.95035000e-04, 1.57221000e+01
5.54485000e-04, -5.84053000e-04, 1.57226000e+01
5.60895000e-04, -5.72940000e-04, 1.57231000e+01
5.67305000e-04, -5.61703000e-04, 1.57237000e+01
5.73715000e-04, -5.50357000e-04, 1.57242000e+01
5.80125000e-04, -5.38920000e-04, 1.57248000e+01
5.86535000e-04, -5.27397000e-04, 1.57254000e+01
5.92945000e-04, -5.15800000e-04, 1.57260000e+01
5.99355000e-04, -5.04143000e-04, 1.57266000e+01
6.05765000e-04, -4.92437000e-04, 1.57272000e+01
6.12175000e-04, -4.80692000e-04, 1.57279000e+01
6.18585000e-04, -4.68920000e-04, 1.57285000e+01
6.25000000e-04, -4.57140000e-04, 1.57292000e+01
6.31415000e-04, -4.45362000e-04, 1.57299000e+01
6.37825000e-04, -4.33595000e-04, 1.57306000e+01
6.44235000e-04, -4.21852000e-04, 1.57313000e+01
6.50645000e-04, -4.10147000e-04, 1.57320000e+01
6.57055000e-04, -3.98488000e-04, 1.57327000e+01
6.63465000e-04, -3.86890000e-04, 1.57335000e+01
6.69875000e-04, -3.75365000e-04, 1.57342000e+01
6.76285000e-04, -3.63922000e-04, 1.57350000e+01
6.82695000e-04, -3.52580000e-04, 1.57357000e+01
6.89105000e-04, -3.41347000e-04, 1.57365000e+01
6.95515000e-04, -3.30235000e-04, 1.57372000e+01
7.01925000e-04, -3.19253000e-04, 1.57380000e+01
7.08335000e-04, -3.08412000e-04, 1.57387000e+01
7.14745000e-04, -2.97728000e-04, 1.57394000e+01
7.21155000e-04, -2.87207000e-04, 1.57401000e+01
7.27565000e-04, -2.76865000e-04, 1.57407000e+01
7.33975000e-04, -2.66710000e-04, 1.57412000e+01
7.40385000e-04, -2.56752000e-04, 1.57416000e+01
7.46795000e-04, -2.47003000e-04, 1.57419000e+01
7.53205000e-04, -2.37473000e-04, 1.57420000e+01
7.59615000e-04, -2.28170000e-04, 1.57418000e+01
7.66025000e-04, -2.19102000e-04, 1.57413000e+01
7.72435000e-04, -2.10283000e-04, 1.57405000e+01
7.78845000e-04, -2.01720000e-04, 1.57391000e+01
7.85255000e-04, -1.93423000e-04, 1.57372000e+01
7.91665000e-04, -1.85400000e-04, 1.57345000e+01
7.98075000e-04, -1.77660000e-04, 1.57309000e+01
8.04485000e-04, -1.70207000e-04, 1.57263000e+01
8.10895000e-04, -1.63055000e-04, 1.57204000e+01
8.17305000e-04, -1.56205000e-04, 1.57131000e+01
8.23715000e-04, -1.49667000e-04, 1.57041000e+01
8.30125000e-04, -1.43453000e-04, 1.56932000e+01
8.36535000e-04, -1.37563000e-04, 1.56802000e+01
8.42945000e-04, -1.32005000e-04, 1.56647000e+01
8.49355000e-04, -1.26782000e-04, 1.56465000e+01
8.55765000e-04, -1.21903000e-04, 1.56255000e+01
8.62175000e-04, -1.17370000e-04, 1.56014000e+01
8.68585000e-04, -1.13193000e-04, 1.55741000e+01
8.75000000e-04, -1.09372000e-04, 1.55434000e+01
8.81415000e-04, -1.05912000e-04, 1.55092000e+01
8.87825000e-04, -1.02817000e-04, 1.54716000e+01
8.94235000e-04, -1.00090000e-04, 1.54307000e+01
9.00645000e-04, -9.77350000e-05, 1.53867000e+01
9.07055000e-04, -9.57525000e-05, 1.53397000e+01
9.13465000e-04, -9.41425000e-05, 1.52903000e+01
9.19875000e-04, -9.29100000e-05, 1.52387000e+01
9.26285000e-04, -9.20575000e-05, 1.51855000e+01
9.32695000e-04, -9.15825000e-05, 1.51312000e+01
9.39105000e-04, -9.14875000e-05, 1.50765000e+01
9.45515000e-04, -9.17725000e-05, 1.50219000e+01
9.51925000e-04, -9.24375000e-05, 1.49681000e+01
9.58335000e-04, -9.34800000e-05, 1.49156000e+01
9.64745000e-04, -9.48975000e-05, 1.48650000e+01
9.71155000e-04, -9.66925000e-05, 1.48168000e+01
9.77565000e-04, -9.88650000e-05, 1.47712000e+01
9.83975000e-04, -1.01407000e-04, 1.47287000e+01
9.90385000e-04, -1.04320000e-04, 1.46894000e+01
9.96795000e-04, -1.07597000e-04, 1.46535000e+01
1.00320500e-03, -1.11237000e-04, 1.46211000e+01
1.00961500e-03, -1.15238000e-04, 1.45920000e+01
1.01602500e-03, -1.19592000e-04, 1.45663000e+01
1.02243500e-03, -1.24300000e-04, 1.45437000e+01
1.02884500e-03, -1.29350000e-04, 1.45242000e+01
1.03525500e-03, -1.34740000e-04, 1.45074000e+01
1.04166500e-03, -1.40465000e-04, 1.44931000e+01
1.04807500e-03, -1.46520000e-04, 1.44811000e+01
1.05448500e-03, -1.52900000e-04, 1.44712000e+01
1.06089500e-03, -1.59592000e-04, 1.44630000e+01
1.06730500e-03, -1.66593000e-04, 1.44564000e+01
1.07371500e-03, -1.73895000e-04, 1.44512000e+01
1.08012500e-03, -1.81493000e-04, 1.44471000e+01
1.08653500e-03, -1.89377000e-04, 1.44440000e+01
1.09294500e-03, -1.97537000e-04, 1.44417000e+01
1.09935500e-03, -2.05967000e-04, 1.44401000e+01
1.10576500e-03, -2.14660000e-04, 1.44390000e+01
1.11217500e-03, -2.23605000e-04, 1.44383000e+01
1.11858500e-03, -2.32790000e-04, 1.44380000e+01
1.12500000e-03, -2.42208000e-04, 1.44379000e+01
1.13141500e-03, -2.51850000e-04, 1.44381000e+01
1.13782500e-03, -2.61705000e-04, 1.44385000e+01
1.14423500e-03, -2.71762000e-04, 1.44389000e+01
1.15064500e-03, -2.82013000e-04, 1.44395000e+01
1.15705500e-03, -2.92445000e-04, 1.44402000e+01
1.16346500e-03, -3.03050000e-04, 1.44408000e+01
1.16987500e-03, -3.13815000e-04, 1.44416000e+01
1.17628500e-03, -3.24728000e-04, 1.44423000e+01
1.18269500e-03, -3.35778000e-04, 1.44431000e+01
1.18910500e-03, -3.46952000e-04, 1.44438000e+01
1.19551500e-03, -3.58240000e-04, 1.44446000e+01
1.20192500e-03, -3.69630000e-04, 1.44454000e+01
1.20833500e-03, -3.81115000e-04, 1.44462000e+01
1.21474500e-03, -3.92680000e-04, 1.44469000e+01
1.22115500e-03, -4.04308000e-04, 1.44477000e+01
1.22756500e-03, -4.15990000e-04, 1.44484000e+01
1.23397500e-03, -4.27717000e-04, 1.44492000e+01
1.24038500e-03, -4.39475000e-04, 1.44499000e+01
1.24679500e-03, -4.51252000e-04, 1.44506000e+01
3.20500000e-06, -4.34095000e-04, 1.57016000e+01
9.61500000e-06, -4.45132000e-04, 1.57021000e+01
1.60250000e-05, -4.56155000e-04, 1.57027000e+01
2.24350000e-05, -4.67148000e-04, 1.57033000e+01
2.88450000e-05, -4.78103000e-04, 1.57038000e+01
3.52550000e-05, -4.89005000e-04, 1.57044000e+01
4.16650000e-05, -4.99845000e-04, 1.57049000e+01
4.80750000e-05, -5.10612000e-04, 1.57055000e+01
5.44850000e-05, -5.21292000e-04, 1.57060000e+01
6.08950000e-05, -5.31878000e-04, 1.57065000e+01
6.73050000e-05, -5.42355000e-04, 1.57070000e+01
7.37150000e-05, -5.52715000e-04, 1.57075000e+01
8.01250000e-05, -5.62945000e-04, 1.57079000e+01
8.65350000e-05, -5.73033000e-04, 1.57084000e+01
9.29450000e-05, -5.82973000e-04, 1.57088000e+01
9.93550000e-05, -5.92752000e-04, 1.57092000e+01
1.05765000e-04, -6.02362000e-04, 1.57096000e+01
1.12175000e-04, -6.11792000e-04, 1.57099000e+01
1.18585000e-04, -6.21033000e-04, 1.57103000e+01
1.25000000e-04, -6.30073000e-04, 1.57106000e+01
1.31415000e-04, -6.38902000e-04, 1.57109000e+01
1.37825000e-04, -6.47515000e-04, 1.57112000e+01
1.44235000e-04, -6.55898000e-04, 1.57115000e+01
1.50645000e-04, -6.64045000e-04, 1.57118000e+01
1.57055000e-04, -6.71950000e-04, 1.57120000e+01
1.63465000e-04, -6.79603000e-04, 1.57123000e+01
1.69875000e-04, -6.86992000e-04, 1.57125000e+01
1.76285000e-04, -6.94115000e-04, 1.57127000e+01
1.82695000e-04, -7.00963000e-04, 1.57129000e+01
1.89105000e-04, -7.07527000e-04, 1.57131000e+01
1.95515000e-04, -7.13802000e-04, 1.57133000e+01
2.01925000e-04, -7.19777000e-04, 1.57134000e+01
2.08335000e-04, -7.25452000e-04, 1.57136000e+01
2.14745000e-04, -7.30822000e-04, 1.57137000e+01
2.21155000e-04, -7.35880000e-04, 1.57138000e+01
2.27565000e-04, -7.40615000e-04, 1.57139000e+01
2.33975000e-04, -7.45022000e-04, 1.57140000e+01
2.40385000e-04, -7.49105000e-04, 1.57141000e+01
2.46795000e-04, -7.52855000e-04, 1.57142000e+01
2.53205000e-04, -7.56267000e-04, 1.57143000e+01
2.59615000e-04, -7.59340000e-04, 1.57144000e+01
2.66025000e-04, -7.62073000e-04, 1.57145000e+01
2.72435000e-04, -7.64457000e-04, 1.57146000e+01
2.78845000e-04, -7.66490000e-04, 1.57146000e+01
2.85255000e-04, -7.68175000e-04, 1.57147000e+01
2.91665000e-04, -7.69505000e-04, 1.57148000e+01
2.98075000e-04, -7.70482000e-04, 1.57148000e+01
3.04485000e-04, -7.71107000e-04, 1.57149000e+01
3.10895000e-04, -7.71373000e-04, 1.57149000e+01
3.17305000e-04, -7.71285000e-04, 1.57150000e+01
3.23715000e-04, -7.70840000e-04, 1.57151000e+01
3.30125000e-04, -7.70038000e-04, 1.57151000e+01
3.36535000e-04, -7.68885000e-04, 1.57152000e+01
3.42945000e-04, -7.67378000e-04, 1.57153000e+01
3.49355000e-04, -7.65518000e-04, 1.57153000e+01
3.55765000e-04, -7.63307000e-04, 1.57154000e+01
3.62175000e-04, -7.60750000e-04, 1.57155000e+01
3.68585000e-04, -7.57848000e-04, 1.57156000e+01
3.75000000e-04, -7.54605000e-04, 1.57156000e+01
3.81415000e-04, -7.51025000e-04, 1.57157000e+01
3.87825000e-04, -7.47107000e-04, 1.57158000e+01
3.94235000e-04, -7.42860000e-04, 1.57159000e+01
4.00645000e-04, -7.38287000e-04, 1.57161000e+01
4.07055000e-04, -7.33392000e-04, 1.57162000e+01
4.13465000e-04, -7.28180000e-04, 1.57163000e+01
4.19875000e-04, -7.22655000e-04, 1.57164000e+01
4.26285000e-04, -7.16825000e-04, 1.57166000e+01
4.32695000e-04, -7.10700000e-04, 1.57168000e+01
4.39105000e-04, -7.04280000e-04, 1.57169000e+01
4.45515000e-04, -6.97572000e-04, 1.57171000e+01
4.51925000e-04, -6.90590000e-04, 1.57173000e+01
4.58335000e-04, -6.83332000e-04, 1.57175000e+01
4.64745000e-04, -6.75808000e-04, 1.57178000e+01
4.71155000e-04, -6.68028000e-04, 1.57180000e+01
4.77565000e-04, -6.60000000e-04, 1.57183000e+01
4.83975000e-04, -6.51735000e-04, 1.57185000e+01
4.90385000e-04, -6.43238000e-04, 1.57188000e+01
